date,merchant,category,amount
2024-08-02,Chipotle,Dining,-19.15
2024-08-02,Starbucks,Dining,-18.9
2024-08-02,Chipotle,Dining,-104.44
2024-08-02,Chipotle,Dining,-84.03
2024-08-02,Shell,Gas,-69.2
2024-08-02,Rent Payment,Housing,-1836.0
2024-08-03,Amazon,Shopping,-100.27
2024-08-03,Sweetgreen,Dining,-81.18
2024-08-03,Verizon,Utilities,-64.29
2024-08-03,CVS,Health,-61.95
2024-08-04,Netflix,Subscriptions,-24.29
2024-08-04,Chipotle,Dining,-149.48
2024-08-04,ConEd,Utilities,-142.59
2024-08-05,Walgreens,Health,-104.84
2024-08-05,Rent Payment,Housing,-1300.0
2024-08-05,Netflix,Subscriptions,-9.27
2024-08-05,Lyft,Transport,-24.92
2024-08-05,CVS,Health,-66.92
2024-08-05,Amazon,Shopping,-107.48
2024-08-05,ConEd,Utilities,-132.66
2024-08-05,Spotify,Subscriptions,-26.37
2024-08-05,Verizon,Utilities,-59.48
2024-08-05,Spotify,Subscriptions,-34.96
2024-08-05,Rent Payment,Housing,-1644.0
2024-08-05,Rent Payment,Housing,-1954.0
2024-08-07,Chipotle,Dining,-133.67
2024-08-09,Trader Joe's,Groceries,-155.57
2024-08-10,Exxon,Gas,-45.9
2024-08-10,Trader Joe's,Groceries,-151.13
2024-08-10,Rent Payment,Housing,-1975.0
2024-08-10,CVS,Health,-17.53
2024-08-11,Trader Joe's,Groceries,-116.96
2024-08-12,Shell,Gas,-83.53
2024-08-12,Walgreens,Health,-65.78
2024-08-12,ConEd,Utilities,-93.74
2024-08-12,Trader Joe's,Groceries,-121.8
2024-08-13,Netflix,Subscriptions,-12.02
2024-08-16,ConEd,Utilities,-177.77
2024-08-16,Netflix,Subscriptions,-24.22
2024-08-18,Spotify,Subscriptions,-32.06
2024-08-18,Rent Payment,Housing,-2090.0
2024-08-18,Paycheck,Income,2336.0
2024-08-18,Verizon,Utilities,-96.73
2024-08-18,Lyft,Transport,-73.5
2024-08-18,Rent Payment,Housing,-1780.0
2024-08-18,Rent Payment,Housing,-2001.0
2024-08-18,Exxon,Gas,-73.98
2024-08-20,Uber,Transport,-65.5
2024-08-20,Lyft,Transport,-85.52
2024-08-20,Target,Shopping,-36.47
2024-08-20,Starbucks,Dining,-96.29
2024-08-20,Planet Fitness,Subscriptions,-27.13
2024-08-20,Starbucks,Dining,-173.05
2024-08-21,Verizon,Utilities,-53.02
2024-08-22,Exxon,Gas,-70.88
2024-08-22,Starbucks,Dining,-9.9
2024-08-22,Trader Joe's,Groceries,-139.14
2024-08-24,Lyft,Transport,-69.54
2024-08-24,Target,Shopping,-156.73
2024-08-24,Netflix,Subscriptions,-17.1
2024-08-24,Lyft,Transport,-21.89
2024-08-24,Amazon,Shopping,-138.74
2024-08-25,ConEd,Utilities,-72.65
2024-08-26,Shell,Gas,-76.02
2024-08-27,Shell,Gas,-49.64
2024-08-28,Walgreens,Health,-39.78
2024-08-29,Walgreens,Health,-104.54
2024-08-29,Target,Shopping,-41.22
2024-08-30,Walgreens,Health,-81.64
2024-08-30,Chipotle,Dining,-107.92
2024-08-31,Starbucks,Dining,-134.46
2024-09-02,Target,Shopping,-86.28
2024-09-03,Paycheck,Income,1482.0
2024-09-03,Shell,Gas,-85.07
2024-09-03,Verizon,Utilities,-128.64
2024-09-03,CVS,Health,-37.89
2024-09-03,Paycheck,Income,1619.0
2024-09-06,Exxon,Gas,-80.13
2024-09-08,Whole Foods,Groceries,-97.05
2024-09-08,Whole Foods,Groceries,-71.51
2024-09-08,Planet Fitness,Subscriptions,-28.32
2024-09-08,Shell,Gas,-11.39
2024-09-08,Amazon,Shopping,-145.73
2024-09-08,Verizon,Utilities,-63.08
2024-09-09,Exxon,Gas,-76.01
2024-09-10,Target,Shopping,-97.87
2024-09-10,Planet Fitness,Subscriptions,-23.25
2024-09-11,Spotify,Subscriptions,-8.14
2024-09-11,Shell,Gas,-13.5
2024-09-13,Verizon,Utilities,-91.89
2024-09-14,Amazon,Shopping,-163.04
2024-09-14,Target,Shopping,-107.27
2024-09-18,Trader Joe's,Groceries,-91.71
2024-09-20,Paycheck,Income,1675.0
2024-09-20,Verizon,Utilities,-73.25
2024-09-20,ConEd,Utilities,-44.55
2024-09-21,Planet Fitness,Subscriptions,-25.58
2024-09-21,Exxon,Gas,-51.22
2024-09-21,CVS,Health,-37.56
2024-09-21,Exxon,Gas,-36.76
2024-09-23,Trader Joe's,Groceries,-55.22
2024-09-23,Verizon,Utilities,-137.67
2024-09-24,Walgreens,Health,-76.43
2024-09-24,Sweetgreen,Dining,-131.68
2024-09-24,Verizon,Utilities,-58.64
2024-09-24,Verizon,Utilities,-90.42
2024-09-25,Amazon,Shopping,-32.02
2024-09-25,Uber,Transport,-80.41
2024-09-25,CVS,Health,-114.48
2024-09-27,Uber,Transport,-11.77
2024-09-27,Spotify,Subscriptions,-30.8
2024-09-27,Uber,Transport,-51.53
2024-09-27,CVS,Health,-52.2
2024-09-29,Chipotle,Dining,-99.67
2024-09-29,ConEd,Utilities,-57.86
2024-09-29,Spotify,Subscriptions,-21.66
2024-09-29,Paycheck,Income,1398.0
2024-10-01,Amazon,Shopping,-75.49
2024-10-03,Amazon,Shopping,-107.97
2024-10-03,Target,Shopping,-113.78
2024-10-03,Rent Payment,Housing,-1779.0
2024-10-04,Planet Fitness,Subscriptions,-12.39
2024-10-05,Rent Payment,Housing,-1230.0
2024-10-05,Uber,Transport,-18.33
2024-10-05,Exxon,Gas,-61.56
2024-10-06,Planet Fitness,Subscriptions,-29.92
2024-10-06,Verizon,Utilities,-57.85
2024-10-06,Spotify,Subscriptions,-31.72
2024-10-06,CVS,Health,-113.99
2024-10-06,ConEd,Utilities,-59.62
2024-10-09,Chipotle,Dining,-162.15
2024-10-09,Sweetgreen,Dining,-87.01
2024-10-10,Chipotle,Dining,-71.25
2024-10-10,Uber,Transport,-64.24
2024-10-10,Netflix,Subscriptions,-20.72
2024-10-10,Trader Joe's,Groceries,-103.76
2024-10-10,CVS,Health,-18.51
2024-10-11,Lyft,Transport,-25.41
2024-10-11,Netflix,Subscriptions,-26.93
2024-10-12,Trader Joe's,Groceries,-123.17
2024-10-12,Chipotle,Dining,-157.51
2024-10-12,Sweetgreen,Dining,-113.78
2024-10-14,Whole Foods,Groceries,-152.83
2024-10-14,Paycheck,Income,2131.0
2024-10-15,Sweetgreen,Dining,-131.43
2024-10-15,Spotify,Subscriptions,-14.34
2024-10-15,Rent Payment,Housing,-1321.0
2024-10-16,Exxon,Gas,-84.62
2024-10-16,Chipotle,Dining,-157.66
2024-10-16,Verizon,Utilities,-69.28
2024-10-19,Shell,Gas,-64.66
2024-10-19,Target,Shopping,-90.73
2024-10-20,Rent Payment,Housing,-1731.0
2024-10-20,Spotify,Subscriptions,-19.33
2024-10-20,Trader Joe's,Groceries,-76.22
2024-10-20,Shell,Gas,-10.61
2024-10-20,Starbucks,Dining,-122.04
2024-10-20,Paycheck,Income,1580.0
2024-10-21,Walgreens,Health,-61.79
2024-10-21,CVS,Health,-75.99
2024-10-22,Starbucks,Dining,-127.07
2024-10-24,Lyft,Transport,-44.89
2024-10-28,Amazon,Shopping,-133.94
2024-10-28,Uber,Transport,-50.18
2024-10-30,Netflix,Subscriptions,-24.69
2024-10-30,Walgreens,Health,-60.71
2024-10-30,Uber,Transport,-71.48
2024-10-30,Amazon,Shopping,-99.61
2024-10-31,Starbucks,Dining,-91.21
2024-11-01,Netflix,Subscriptions,-22.12
2024-11-02,Planet Fitness,Subscriptions,-17.22
2024-11-02,Planet Fitness,Subscriptions,-22.83
2024-11-02,Trader Joe's,Groceries,-119.83
2024-11-04,Whole Foods,Groceries,-141.39
2024-11-05,Exxon,Gas,-89.37
2024-11-06,Whole Foods,Groceries,-147.13
2024-11-06,Starbucks,Dining,-70.45
2024-11-08,ConEd,Utilities,-44.38
2024-11-08,Shell,Gas,-70.34
2024-11-09,Exxon,Gas,-20.31
2024-11-09,Target,Shopping,-21.06
2024-11-11,Rent Payment,Housing,-1747.0
2024-11-11,Chipotle,Dining,-40.74
2024-11-11,Paycheck,Income,2098.0
2024-11-11,Amazon,Shopping,-64.25
2024-11-12,Starbucks,Dining,-166.67
2024-11-13,Starbucks,Dining,-102.53
2024-11-13,Verizon,Utilities,-136.77
2024-11-13,Sweetgreen,Dining,-173.41
2024-11-14,Chipotle,Dining,-10.08
2024-11-14,Amazon,Shopping,-109.52
2024-11-14,Trader Joe's,Groceries,-67.9
2024-11-16,Amazon,Shopping,-52.69
2024-11-17,Rent Payment,Housing,-1372.0
2024-11-18,Paycheck,Income,2507.0
2024-11-18,Uber,Transport,-31.2
2024-11-18,Chipotle,Dining,-163.0
2024-11-18,Lyft,Transport,-21.15
2024-11-19,Target,Shopping,-153.6
2024-11-20,Netflix,Subscriptions,-19.86
2024-11-20,Netflix,Subscriptions,-29.59
2024-11-20,Spotify,Subscriptions,-10.34
2024-11-20,Sweetgreen,Dining,-144.0
2024-11-20,Trader Joe's,Groceries,-111.52
2024-11-20,Chipotle,Dining,-47.09
2024-11-21,Target,Shopping,-39.06
2024-11-23,Walgreens,Health,-62.66
2024-11-23,Chipotle,Dining,-123.49
2024-11-24,Spotify,Subscriptions,-21.47
2024-11-25,Shell,Gas,-17.03
2024-11-25,ConEd,Utilities,-147.48
2024-11-26,Exxon,Gas,-37.4
2024-11-26,Lyft,Transport,-75.75
2024-11-26,Sweetgreen,Dining,-114.4
2024-11-26,Exxon,Gas,-29.0
2024-12-01,Whole Foods,Groceries,-70.33
2024-12-01,Trader Joe's,Groceries,-145.18
2024-12-02,Netflix,Subscriptions,-24.15
2024-12-03,Paycheck,Income,1533.0
2024-12-03,Netflix,Subscriptions,-13.54
2024-12-03,Planet Fitness,Subscriptions,-8.48
2024-12-03,Starbucks,Dining,-16.39
2024-12-04,Shell,Gas,-27.04
2024-12-04,Spotify,Subscriptions,-32.32
2024-12-04,Trader Joe's,Groceries,-46.46
2024-12-05,CVS,Health,-15.45
2024-12-05,Shell,Gas,-62.72
2024-12-05,Sweetgreen,Dining,-81.3
2024-12-05,Spotify,Subscriptions,-34.56
2024-12-05,ConEd,Utilities,-144.95
2024-12-05,Walgreens,Health,-107.76
2024-12-06,Spotify,Subscriptions,-13.43
2024-12-07,Verizon,Utilities,-60.94
2024-12-07,ConEd,Utilities,-144.4
2024-12-07,Exxon,Gas,-59.57
2024-12-07,Netflix,Subscriptions,-13.03
2024-12-07,Planet Fitness,Subscriptions,-10.03
2024-12-07,Paycheck,Income,1382.0
2024-12-07,Shell,Gas,-40.05
2024-12-09,Exxon,Gas,-80.9
2024-12-09,Shell,Gas,-70.5
2024-12-10,Netflix,Subscriptions,-33.23
2024-12-10,Shell,Gas,-33.1
2024-12-10,CVS,Health,-51.82
2024-12-11,Chipotle,Dining,-178.59
2024-12-11,Uber,Transport,-65.76
2024-12-11,Whole Foods,Groceries,-141.04
2024-12-11,Walgreens,Health,-23.44
2024-12-11,Spotify,Subscriptions,-13.84
2024-12-13,Trader Joe's,Groceries,-63.44
2024-12-14,Starbucks,Dining,-38.71
2024-12-14,Trader Joe's,Groceries,-169.16
2024-12-14,CVS,Health,-48.95
2024-12-14,Shell,Gas,-83.67
2024-12-14,CVS,Health,-117.35
2024-12-14,Starbucks,Dining,-148.11
2024-12-15,Target,Shopping,-159.64
2024-12-15,Trader Joe's,Groceries,-68.3
2024-12-15,Rent Payment,Housing,-1847.0
2024-12-15,Whole Foods,Groceries,-136.59
2024-12-16,Sweetgreen,Dining,-8.91
2024-12-16,Amazon,Shopping,-165.26
2024-12-17,Spotify,Subscriptions,-27.1
2024-12-20,Lyft,Transport,-43.93
2024-12-20,ConEd,Utilities,-68.9
2024-12-20,Walgreens,Health,-42.73
2024-12-20,Chipotle,Dining,-39.9
2024-12-22,Exxon,Gas,-78.99
2024-12-22,Lyft,Transport,-76.02
2024-12-24,Verizon,Utilities,-122.36
2024-12-24,Spotify,Subscriptions,-20.11
2024-12-25,Starbucks,Dining,-160.5
2024-12-25,Shell,Gas,-67.99
2024-12-25,Lyft,Transport,-40.56
2024-12-25,Sweetgreen,Dining,-67.45
2024-12-25,Trader Joe's,Groceries,-138.49
2024-12-25,Shell,Gas,-60.58
2024-12-26,Whole Foods,Groceries,-152.63
2024-12-30,Whole Foods,Groceries,-95.44
2024-12-31,Rent Payment,Housing,-1993.0
2024-12-31,Shell,Gas,-57.92
